,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
49,2132 ENNEY,318,155,163,316,154,162,1,994,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
50,2133 ESTAVANNENS,277,154,123,269,149,120,3,971,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
51,2134 GRANDVILLARD,506,251,255,498,245,253,2,984,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
52,2135 GRUYERES,1295,672,623,1212,618,594,29,936,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
53,2136 GUMEFENS,362,190,172,356,187,169,3,983,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
54,2137 HAUTEVILLE,312,165,147,307,163,144,3,984,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
55,2138 JAUN,685,376,309,684,376,308,1,999,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
56,2139 LESSOC,142,80,62,142,80,62,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
57,2140 MARSENS,996,505,491,959,482,477,14,963,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
58,2141 MAULES,165,92,73,163,91,72,1,988,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
59,2142 MONTBOVON,223,122,101,221,121,100,1,991,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
60,2143 MORLON,376,200,176,369,194,175,1,981,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
61,2144 NEIRIVUE,340,181,159,308,160,148,11,906,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
62,2070 CHAVANNES-S.-ORSONNEN$,216,121,95,216.1,121.1,95.1,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
0,2146 LE BRY,213,115,98,208,112,96,5,3,2,977,23,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
1,2147 PONT—LA—VILLE,284,159,125,279,157,122,5,2,3,982,18,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
2,2148 RI AZ,1016,505,511,975,484,491,41,21,20,960,40,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
3,2149 LA ROCHE,1027,577,450,1019,571,448,8,6,2,992,8,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
4,2150 ROMANENS,154,93,61,154,93,61,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
5,2151 RUEYRES — TREYFAYES,124,59,65,124,59,65,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
6,2152 SALES (GRUYERE),454,246,208,451,243,208,3,3,—,993,7,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
7,2153 SORENS,612,331,281,604,327,277,8,4,4,987,13,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
8,2154 LA TOUR—DE—TREME,2406,1210,1196,2188,1069,1119,218,141,77,909,91,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
9,2155 VAULRUZ,699,364,335,693,361,332,6,3,3,991,9,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
10,2156 VILLARBENEY,62,31,31,62,31,31,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
11,2158 VILLARS—SOUS—MONT,123,64,59,123,64,59,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
12,2159 VILLARVOLARD,151,82,69,151,82,69,—,—,—,100D,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
13,2160 VUADENS,1138,603,535,1121,594,527,17,9,8,985,15,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
14,2161 VUIPPENS,208,104,104,204,102,102,4,2,2,981,19,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
16,2171 ARCONCIEL,399,212,187,382,202,180,17,10,7,957,43,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
17,2172 AUTAFOND,80,45,35,80,45,35,—,—,—,100D,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
18,2173 AUTIGNY,451,232,219,444,228,216,7,4,3,984,16,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
19,2174 AVRY—SUR—MATRAN,853,431,422,783,397,386,70,34,36,918,82,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
20,2175 BEL FAUX,1491,737,754,1416,702,714,75,35,40,950,50,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
21,2176 BONNEFONTAINE,213,101,112,206,98,108,7,3,4,967,33,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
22,2177 CHENENS,323,171,152,322,170,152,1,1,—,997,3,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
23,2179 CHESOPELLOZ,65,33,32,65,33,32,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
24,2180 LA CORBAZ,159,87,72,152,84,68,7,3,4,956,44,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
25,2181 CORJOLENS,70,41,29,68,39,29,2,2,—,971,29,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
26,2182 CORMAGENS,77,44,33,75,43,32,2,1,1,974,26,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
27,71R3 CORMTNAOFIIF,795,471,364,753,400,353,3?,21,11,959,41,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
28,2184 CORPATAUX,517,262,255,503,254,249,14,8,6,973,27,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
29,2185 CORSEREY,187,94,93,183,92,91,4,2,2,979,21,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
30,2186 COTTENS (FR),629,320,309,605,307,298,24,13,11,962,38,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
31,2188 ECUVILLENS,535,274,261,511,255,256,24,19,5,955,45,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
32,2189 EPENDES (FR),788,408,380,756,394,362,32,14,18,959,41,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
33,2190 ESSERI (FR),216,115,101,212,113,99,4,2,2,981,19,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
34,2191 ESTAVAYER—LE—GIBLOUX,130,66,64,127,64,63,3,2,1,977,23,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
35,2192 FARVAGNY—LE—GRAND,613,310,303,597,301,296,16,9,7,974,26,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
36,2193 FARVAGNY—LE—PETIT,216,125,91,212,122,90,4,3,1,981,19,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
37,2194 FERPICLOZ,141,74,67,136,71,65,5,3,2,965,35,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
38,2195 FORMANGUEIRES,54,29,25,50,26,24,4,3,1,926,74,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
39,2196 FRIBOURG,37400,17699,19701,31483,14413,17070,5917,3286,2631,842,158,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
40,2197 GIVISIEZ,1009,438,571,854,380,474,155,58,97,846,154,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
41,2198 GRANGES — PACCOT,1143,601,542,1001,511,490,142,90,52,876,124,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
